id,notes,order_id,status
3132526,Manual Credit,1335412,PENDING
3132526,Manual Credit,1333541,PENDING
3132526,Manual Credit,1335475,PENDING
3132526,Manual Credit,1338227,PENDING
3132526,Manual Credit,1338178,PENDING
3132526,Manual Credit,1325562,PENDING
3132526,Manual Credit,1150289,PENDING
3132526,Manual Credit,1066920,PENDING
3132526,Manual Credit,1330111,PENDING
3132526,Manual Credit,1300396,PENDING
3132526,Manual Credit,1338146,PENDING
3132526,Manual Credit,1263011,PENDING
3132526,Manual Credit,1333244,PENDING
3132526,Manual Credit,1314641,PENDING
3132526,Manual Credit,1318354,PENDING
3132526,Manual Credit,1332272,PENDING
3132526,Manual Credit,1340585,PENDING
3132526,Manual Credit,1067833,PENDING
3132526,Manual Credit,1295889,PENDING
3132526,Manual Credit,1340840,PENDING
