id,notes,order_id,status
3132526,Manual Credit,1340940,PENDING
3132526,Manual Credit,1339344,PENDING
3132526,Manual Credit,1341267,PENDING
3132526,Manual Credit,1187390,PENDING
3132526,Manual Credit,1341438,PENDING
3132526,Manual Credit,1341607,PENDING
3132526,Manual Credit,1341210,PENDING
3132526,Manual Credit,1335477,PENDING
3132526,Manual Credit,1341957,PENDING
3132526,Manual Credit,1326383,PENDING
3132526,Manual Credit,1341885,PENDING
3132526,Manual Credit,1342196,PENDING
3132526,Manual Credit,1118775,PENDING
3132526,Manual Credit,1074608,PENDING
3132526,Manual Credit,1342782,PENDING
3132526,Manual Credit,1342760,PENDING
3132526,Manual Credit,1341029,PENDING
3132526,Manual Credit,1343621,PENDING
3132526,Manual Credit,1343570,PENDING
3132526,Manual Credit,1343859,PENDING
